# Obtained from Anne Green on 2015-02-14 in LaTeX format and manually reformatted as CSV
# Size column split in MajDiam and MinDiam to be consistent with Green's catalog.
# I don't care about the radio flux columns and they have missing values, so I just removed them.
Source_Name & RAJ2000    & DEJ2000   & Dmaj & Dmin
G269.7+0.0  & 09:10:47.7 & -48:03:16 &   33 &   27
G291.0+0.1  & 11:12:33.3 & -60:28:42 &   22 &   20
G296.6-0.4  & 11:55:50.8 & -62:34:27 &   14 &   10
G296.7-0.9  & 11:55:31.0 & -63:07:08 &   14 &   10
G299.3-1.5  & 12:17:55.5 & -64:09:53 &   36 &   29
G308.4-1.4  & 13:41:32.9 & -63:44:41 &   14 &    6
G310.7-5.4  & 14:12:18.1 & -67:05:03 &   31 &   29
G310.9-0.3  & 13:59:55.5 & -62:03:47 &   17 &   11
G321.3-3.9  & 15:32:13.8 & -60:51:54 &  109 &   64
G322.7+0.1  & 15:24:01.9 & -56:49:12 &   13 &   11
G322.9-0.0  & 15:25:40.4 & -56:46:45 &   12 &   11
G323.7-1.0  & 15:34:30.1 & -57:12:03 &   51 &   38
G324.1+0.0  & 15:32:41.2 & -56:03:14 &   11 &    7
G325.0-0.3  & 15:39:20.7 & -55:49:28 &    6 &    4
G330.7+0.1  & 16:07:28.4 & -51:53:08 &   10 &    8
G334.0-0.8  & 16:26:36.0 & -50:16:19 &   14 &   11
G336.7-0.3  & 16:35:25.4 & -47:57:01 &    5 &    3
G336.9-0.5  & 16:37:12.2 & -47:57:53 &   15 &   12
G345.1-0.2  & 17:05:14.1 & -41:26:00 &    6 &    5
G345.2+0.2  & 17:03:44.3 & -41:05:35 &   11 &   11
G346.2-1.0  & 17:12:10.8 & -40:59:06 &    7 &    7
G348.9+1.1  & 17:11:28.7 & -37:34:42 &   12 &   11
G354.1+0.3  & 17:29:38.4 & -33:47:02 &   11 &   11
