"ID","names","context","SN","age","distance","type","CHANDRA","XMM","SUZAKU","ROSAT","ASCA","FERMI","AGILE","HESS","VERITAS","MAGIC","MILAGRO"
"G000.0+00.0","Sgr A East, CXOGC J174545.5-285829, 1FGL J1745.6-2900c, 2FGL J1745.6-2858, 1FHL J1745.6-2900, 3FGL J1745.6-2859c, HESS J1745-290","contains CXOGC J174545.5-285829 = the cannonball = NS candidate and possibly PWN, close to BH Sgr A*, interacts with molecular cloud","","1200 - 10000 yr","8 kpc","composite","extended","extended","extended","unknown","extended","detected","unknown","detected","extended","unknown","unknown"
"G000.1-00.1","1FGL J1746.4-2849c, 2FGL J1746.6-2851c, 1FHL J1746.3-2851, 3FGL J1746.3-2851c","contains PWN G0.13-0.11, interacts with molecular cloud??","","","","composite?","extended","extended","unknown","unknown","unknown","detected","unknown","unknown","unknown","unknown","unknown"
"G000.3+00.0","[G0.33+0.04], [G0.4+0.1]","","","≤ 500000 yr","8.5 kpc","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G000.9+00.1","HESS J1747-281","contains PSR J1747-2809 + PWN G0.87+0.08","","1900 yr, PSR: 5000 yr","8.5 - 10 kpc, PSR: 13 kpc","composite","extended","extended","unknown","unknown","detected","missed","unknown","detected","unknown","unknown","unknown"
"G001.0-00.1","Sgr D, [G1.05-0.1], [G1.05-0.15]","close to star forming region Sgr D and other SNR candidates G1.02-0.18 and G1.2-0.0, interacts with molecular cloud","","","8 kpc","shell","unknown","detected","detected","unknown","missed","missed","unknown","unknown","unknown","unknown","unknown"
"G001.4-00.1","","interacts with molecular cloud","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G001.9+00.3","","","","150 - 220 yr","8.5 kpc","shell","extended","unknown","unknown","unknown","detected","missed","unknown","missed","unknown","unknown","unknown"
"G003.7-00.2","[G003.8-00.3]","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G003.8+00.3","","","","","","shell?","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
"G004.2-03.5","","","","","","shell","unknown","unknown","unknown","unknown","unknown","missed","unknown","unknown","unknown","unknown","unknown"
